model,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,train_seconds
XGBoost,0.6689895470383276,0.62205148005148,0.600918710918711,0.6074095416778345,0.6667767093109151,0.32754985700000816
SVM,0.6062717770034843,0.6462962962962963,0.45005291005291,0.4738761911049493,0.5855644371569767,0.11682530500002031
Random Forest,0.6062717770034843,0.5468505889354797,0.5899074074074073,0.5601552824714423,0.6108596099964783,0.2066274690000114
Logistic Regression,0.49477351916376305,0.47275983452096454,0.5639430014430015,0.4741634475545083,0.4843869386358978,1.097531145000005
